"ID1","ID2","Latitude","Longitude","Elevation"
"V19351","1914",48.9,-125.5,NA
"V19348","1914",48.9,-125.5,NA
"V17879","1914",49.0166667,-122.8,NA
"V235721","1914",49.1,-125.1,NA
"V235634","1914",49.23,-122.81,NA
"V198411","1914",49.3,-123.1,NA
"V198412","1914",49.3,-123.1,NA
"V40737","1914",50.42,-121.34,NA
"V18102","1914",53.3,-120.2,719.328
"V68493","1914",53.92,-123.25,NA
"V224285","1914",53.92,-122.68,235.9152
"V17882","1914",54.3,-130.3,NA
"V39451","1914",54.31,-130.33,NA
"V18536","1914",56.15,-120,716.28
"V19900","1914",56.6,-125.4,633.984
"V19055","1914",56.74,-125.04,NA
"V19057","1914",56.75,-125.1666667,2350
"V41965","1914",59.55,-136.53,NA
"V18943","1914",NA,NA,NA
