accession,genus,species,date,elevation,collector,latitude,longitude,,
V191652,Bidens,sandvicensis,1981 Feb,520 m,Fred R. Ganders,21.22,-157.45,Verbatim from Collector/Sheet,no anthers
V218697,Arundo,donax,1999 Dec 19,510 ft,John B. Nelson,31.1094,-82.3559,Verbatim from Collector/Sheet,no anthers
V30471,Arthraxon,hispidus,1996 Oct 04,,John B. Nelson,33.85,-80.96,Verbatim from Collector/Sheet,anthers
V218698,Brachiaria,platyphylla,1999 Dec 19,310 ft,John B. Nelson,33.8913,-82.0074,Verbatim from Collector/Sheet,anthers
V220698,Bromus,carinatus,2003 Apr 06,1120 ft,A.C. Sanders,33.98,-117.3,Verbatim from Collector/Sheet,no anthers
V218701,Leersia,oryzoides,1994 Apr 30,430 ft,John B. Nelson,34.1092,-82.3668,Verbatim from Collector/Sheet,anthers
V144916,Festuca,rubra,1973 Jul 01,0 m,Katherine I. Beamish,35,-129,Verbatim from Collector/Sheet,no anthers
V191091,Bromus,diandrus,1986 May 01,680 m,William J. Crins,36.1,-121.5,Verbatim from Collector/Sheet,anthers
V191095,Avena,barbata,1986 May 01,840 m,William J. Crins,36.2,-121.5,Verbatim from Collector/Sheet,anthers
V226772,Bromus,catharticus,2003 Jun 20,9 m,Jeffery M. Saarela,38.17,-122.8984,Verbatim from Collector/Sheet,anthers
V228295,Brachyelytrum,aristosum,2002 Aug 14,760 m,Jeffery M. Saarela,38.23,-80.4765,Verbatim from Collector/Sheet,no anthers
V226782,Hordeum,brachyantherum,2003 Jun 17,2019 m,Jeffery M. Saarela,38.28,-118.2964,Verbatim from Collector/Sheet,anthers
V226771,Bromus,carinatus,2003 Jun 20,27 m,Jeffery M. Saarela,38.48,-123.0516,Verbatim from Collector/Sheet,no anthers
V228427,Bromus,carinatus,2003 Jun 17,1651 m,Jeffery M. Saarela,38.51,-119.4521,Verbatim from Collector/Sheet,no anthers
V226766,Anthoxanthum,odoratum,2003 Jun 20,42 m,Jeffery M. Saarela,38.58,-123.3343,Verbatim from Collector/Sheet,anthers
V226767,Holcus,lanatus,2003 Jun 20,42 m,Jeffery M. Saarela,38.58,-123.3343,Verbatim from Collector/Sheet,no anthers
V225274,Brachyelytrum,erectum,2002 Aug 12,197 m,Jeffery M. Saarela,38.9323,-83.285,Verbatim from Collector/Sheet,no anthers
V226780,Bromus,carinatus,2003 Jun 17,1768 m,Jeffery M. Saarela,39.53,-120.3101,Verbatim from Collector/Sheet,no anthers
V226778,Bromus,diandrus,2003 Jun 18,,Jeffery M. Saarela,39.72,-121.8335,Verbatim from Collector/Sheet,anthers
V190876,Briza,minor,1986 Apr 26,,William J. Crins,40.1,-123.7,Verbatim from Collector/Sheet,anthers
V226795,Holcus,lanatus,2003 Jun 21,142 m,Jeffery M. Saarela,40.23,-124.0417,Verbatim from Collector/Sheet,anthers
V226812,Bromus,hordeaceus,2003 Jun 21,570 m,Jeffery M. Saarela,40.51,-124.2889,Verbatim from Collector/Sheet,anthers
V226775,Hordeum,jubatum,2003 Jun 16,1537 m,Jeffery M. Saarela,40.55,-117.123,Verbatim from Collector/Sheet,anthers
V225272,Brachyelytrum,aristosum,2002 Aug 19,527 m,Jeffery M. Saarela,41.17,-78.549,Verbatim from Collector/Sheet,no anthers
V225278,Glyceria,canadensis,2002 Aug 19,527 m,Jeffery M. Saarela,41.17,-78.549,Verbatim from Collector/Sheet,anthers
V184837,Briza,minor,1984 May 16,,Gerald B. Straley,41.45,-123.4,Verbatim from Collector/Sheet,anthers
V184832,Briza,maxima,1984 May 15,,Gerald B. Straley,41.55,-123.53,Verbatim from Collector/Sheet,no anthers
V225260,Bromus,inermis,2002 Aug 10,244m,Jeffery M. Saarela,41.66,-87.0247,Verbatim from Collector/Sheet,no anthers
V226879,Bromus,carinatus,2003 Jun 15,2320 m,Jeffery M. Saarela,41.92,-111.4568,Verbatim from Collector/Sheet,no anthers
V247273,Elymus,elymoides,1964 Jun 10,4600 ft,Noel H. Holmgren,42,-128,Verbatim from Collector/Sheet,anthers
V184803,Festuca,rubra,1984 May 13,,Gerald B. Straley,42.2,-123.8,Verbatim from Collector/Sheet,no anthers
V220181,Deschampsia,caespitosa,1998 Jun 26,,Richard G. Olmstead,42.24,-123.68,Verbatim from Collector/Sheet,anthers
V220182,Deschampsia,caespitosa,1998 Jun 26,,Richard G. Olmstead,42.24,-123.68,Verbatim from Collector/Sheet,anthers
V220193,Festuca,idahoensis,1998 Jun 26,747 m,Richard Robohm,42.34,-123.75,Verbatim from Collector/Sheet,anthers
V220186,Alopecurus,pratensis,1996 Jun 07,1840 m,Alison Colwell,42.5,-119.69,Verbatim from Collector/Sheet,anthers
V225252,Bouteloua,curtipendula,2002 Aug 08,,Jeffery M. Saarela,42.77,-88.68,Verbatim from Collector/Sheet,anthers
V190875,Aira,caryophyllea,1986 Apr 24,,William J. Crins,42.9,-123.4,Verbatim from Collector/Sheet,anthers
V190928,Avena,barbata,1986 Apr 24,,William J. Crins,42.9,-123.4,Verbatim from Collector/Sheet,anthers
V194811,Lolium,perenne,1973 Jun 14,,J. Laudenbach,43.2,-79.6,Verbatim from Collector/Sheet,anthers
V225279,Bromus,carinatus,2003 Jun 23,1318 m,Jeffery M. Saarela,43.5069,-121.6621,Verbatim from Collector/Sheet,no anthers
V226882,Koeleria,macrantha,2003 Jun 13,1109 m,Jeffery M. Saarela,43.72,-113.5675,Verbatim from Collector/Sheet,anthers
V194079,Glyceria,striata,1977 Jul 05,,R. Hanna,43.8,-79.9,Verbatim from Collector/Sheet,anthers
V224001,Elymus,glaucus,2000 Jun 09,706 m/2315 ft.,Ken Davis,44.00027,-120.16691,Verbatim from Collector/Sheet,anthers
V236149,Ammophila,arenaria,2009 Jul 09,5 m,Richard R. Halse,44.09333,-124.1192,Verbatim from Collector/Sheet,anthers
V226866,Dactylis,glomerata,2006 May 18,428 m,Jeffery M. Saarela,44.21,-119.8931,Verbatim from Collector/Sheet,anthers
V222230,Bromus,inermis,2000 Jun 10,610 m/2000 ft,Richard Robohm,44.436,-120.2016,Verbatim from Collector/Sheet,no anthers
V236095,Eragrostis,cilianensis,2009 Sep 02,1000 m,Richard R. Halse,44.63687,-116.79137,Verbatim from Collector/Sheet,anthers
V226653,Apera,interrupta,2007 Jun 11,,M.J. Oldham,44.75971,-76.77163,Verbatim from Collector/Sheet,anthers
V226645,Muhlenbergia,mexicana,2002 Aug 28,122 m,Jeffery M. Saarela,45.1521,-76.2523,Verbatim from Collector/Sheet,anthers
V37412,Agrostis,stolonifera,1896 Aug 08,,James H. Lemon,45.2,-75,Verbatim from Collector/Sheet,anthers
